feature,importance
wrc_plus_diff,0.035786252
era_diff,0.03136988
fip_diff,0.02028603
home_obp,0.019152578
is_weekend,0.017772788
is_dome,0.017149309
home_park_factor,0.016814066
home_xfip,0.016462937
away_wrc_plus,0.015690979
home_wrc_plus,0.015639318
home_era,0.015560967
away_rest_days,0.015494832
is_2020,0.015430005
home_bb_pct,0.015405568
home_bullpen_era,0.015284781
home_bb9,0.0152036855
away_bb9,0.015126628
home_fip,0.014962778
h2h_home_win_rate,0.014912971
home_k9,0.014792158
home_k_pct,0.014785488
home_slg,0.014764107
away_bullpen_era,0.014740806
away_slg,0.014737776
home_season_win_pct,0.014604372
roll_run_diff_diff,0.014553135
season_win_pct_diff,0.014497243
away_roll30_rs,0.014275696
away_roll_run_diff,0.01427277
away_xfip,0.014265337
away_k_pct,0.014099859
roll7_win_rate_diff,0.014021009
temp_f,0.014000158
away_obp,0.01396393
month,0.013963611
home_roll_run_diff,0.013927987
away_bb_pct,0.013867036
home_roll30_ra,0.013824192
home_roll_pythag,0.013816417
home_roll_win_rate,0.013812083
away_roll30_ra,0.01375741
away_roll_rs,0.01374684
away_roll_pythag,0.01371138
roll_pythag_diff,0.013685174
away_roll30_win_rate,0.013639832
away_era,0.013553123
away_k9,0.013553021
home_roll_ra,0.013550319
away_roll7_ra,0.013539756
home_rest_days,0.013485283
home_roll30_rs,0.0134389615
wind_mph,0.013426342
away_season_win_pct,0.013417679
home_roll30_win_rate,0.013391047
home_roll7_win_rate,0.013364166
day_of_week,0.013348453
home_roll7_ra,0.0133174565
roll30_win_rate_diff,0.013242613
away_roll7_rs,0.013119146
away_fip,0.013081943
home_roll7_rs,0.012990005
home_roll_rs,0.012981779
away_roll7_win_rate,0.01286352
away_roll_ra,0.012652398
roll_win_rate_diff,0.012104613
rest_days_diff,0.012002356
away_roll_win_rate,0.011943858
home_pitcher_era,0.0
away_pitcher_era,0.0
home_advantage,0.0
