feature,importance
roll_goal_diff_diff,0.14133556
defense_diff,0.048682995
attack_diff,0.04789787
season_win_pct_diff,0.040031374
home_season_win_pct,0.030592429
away_season_win_pct,0.029599676
roll_pythag_diff,0.029416412
home_roll_goals_allowed,0.028998308
away_roll_goals_scored,0.028101627
home_roll_goal_diff,0.027553199
roll_draw_rate_diff,0.027315611
away_roll_win_rate,0.027303796
home_roll_goals_scored,0.027243638
away_roll_pythag,0.027031247
home_roll_win_rate,0.02681218
away_roll_goals_allowed,0.026719155
away_attack_strength,0.026557256
home_roll_draw_rate,0.026540533
roll_win_rate_diff,0.02653886
home_defense_strength,0.026527867
month,0.026485138
away_defense_strength,0.026361242
home_roll_pythag,0.026177756
away_roll_goal_diff,0.025994133
rest_days_diff,0.02574516
away_roll_draw_rate,0.025666015
home_attack_strength,0.025604758
home_rest_days,0.025141738
away_rest_days,0.025073491
day_of_week,0.02398897
is_weekend,0.02296203
home_advantage,0.0
